,content,label
0,"['purpose', 'website', '9gagcom', '“site”', 'owned', 'operated', '9gag', 'inc', 'provide', 'web', 'publishing', 'services', 'please', 'read', 'terms', 'service', '“agreement”', 'carefully', 'using', 'site', 'services', 'provided', 'site', 'collectively', '“services”']",0
1,"['subscriber', 'certifies', '9gag', 'inc', 'subscriber', 'individual', 'ie', 'corporate', 'entity', 'subscriber', 'least', '13', 'years', 'age', 'one', 'age', '13', 'may', 'provide', 'personal', 'information', '9gag', 'inc', 'including', 'example', 'name', 'address', 'telephone', 'number', 'email', 'address', 'subscriber', 'also', 'certifies', 'legally', 'permitted', 'use', 'services', 'access', 'site', 'takes', 'full', 'responsibility', 'selection', 'use', 'services', 'access', 'site', 'agreement', 'void', 'prohibited', 'law', 'right', 'access', 'site', 'revoked', 'jurisdictions', '9gag', 'inc', 'makes', 'claim', 'site', 'may', 'lawfully', 'viewed', 'content', 'may', 'downloaded', 'outside', 'hong', 'kong', 'access', 'content', 'may', 'legal', 'certain', 'persons', 'certain', 'countries', 'access', 'site', 'outside', 'hong', 'kong', 'risk', 'responsible', 'compliance', 'laws', 'jurisdiction']",0
2,"['9gag', 'inc', 'use', 'reasonable', 'efforts', 'ensure', 'site', 'services', 'available', 'twentyfour', 'hours', 'day', 'seven', 'days', 'week', 'however', 'occasions', 'site', 'andor', 'services', 'interrupted', 'maintenance', 'upgrades', 'repairs', 'due', 'failure', 'telecommunications', 'links', 'equipment', 'every', 'reasonable', 'step', 'taken', '9gag', 'inc', 'minimize', 'disruption', 'within', '9gag', 'inc’s', 'reasonable', 'control']",0
3,"['agree', 'neither', '9gag', 'inc', 'site', 'liable', 'event', 'party', 'suspension', 'modification', 'discontinuance', 'lack', 'availability', 'site', 'service', 'subscriber', 'content', 'content']",1
4,"['9gag', 'inc', 'retains', 'right', 'create', 'limits', 'use', 'storage', 'sole', 'discretion', 'time', 'without', 'notice']",1
5,"['subscriber', 'shall', 'responsible', 'obtaining', 'maintaining', 'equipment', 'ancillary', 'services', 'needed', 'connect', 'access', 'site', 'otherwise', 'use', 'services', 'including', 'without', 'limitation', 'modems', 'hardware', 'software', 'long', 'distance', 'local', 'telephone', 'service', 'subscriber', 'shall', 'responsible', 'ensuring', 'equipment', 'ancillary', 'services', 'compatible', 'services']",0
6,"['site', 'contents', 'intended', 'solely', 'use', '9gag', 'inc', 'subscribers', 'may', 'used', 'accordance', 'terms', 'agreement', 'materials', 'displayed', 'performed', 'site', 'including', 'limited', 'text', 'graphics', 'logos', 'tools', 'photographs', 'images', 'illustrations', 'software', 'source', 'code', 'audio', 'video', 'animations', 'themes', 'defined', 'including', 'without', 'limitation', '9gag', 'inc', 'template', 'code', 'defined', 'collectively', '“content”', 'content', 'posted', 'subscriber', '“subscriber', 'content”', 'property', '9gag', 'inc', 'andor', 'third', 'parties', 'protected', 'hong', 'kong', 'international', 'copyright', 'laws', '9gag', 'inc', 'api', 'shall', 'used', 'solely', 'pursuant', 'terms', 'api', 'terms', 'service', 'trademarks', 'service', 'marks', 'trade', 'names', 'proprietary', '9gag', 'inc', 'andor', 'third', 'parties', 'subscriber', 'shall', 'abide', 'copyright', 'notices', 'information', 'restrictions', 'contained', 'content', 'accessed', 'services']",0
7,"['site', 'protected', 'copyright', 'collective', 'work', 'andor', 'compilation', 'pursuant', 'hong', 'kong', 'copyright', 'laws', 'international', 'conventions', 'copyright', 'laws', 'expressly', 'set', 'forth', 'agreement', 'subscriber', 'may', 'copy', 'modify', 'publish', 'transmit', 'upload', 'participate', 'transfer', 'sale', 'reproduce', 'except', 'provided', 'section', 'create', 'derivative', 'works', 'based', 'distribute', 'perform', 'display', 'way', 'exploit', 'content', 'software', 'materials', 'services', 'whole', 'part']",0
8,"['subscriber', 'may', 'download', 'copy', 'content', 'items', 'displayed', 'site', 'download', 'personal', 'use', 'provided', 'subscriber', 'maintains', 'copyright', 'notices', 'contained', 'content', 'downloading', 'copying', 'storing', 'content', 'personal', 'noncommercial', 'use', 'expressly', 'prohibited', 'without', 'prior', 'written', 'permission', '9gag', 'inc', 'copyright', 'holder', 'identified', 'contents', 'copyright', 'notice', 'event', 'download', 'software', 'site', 'software', 'including', 'files', 'images', 'incorporated', 'generated', 'software', 'data', 'accompanying', 'software', 'collectively', '“software”', 'licensed', '9gag', 'inc', 'third', 'party', 'licensors', 'personal', 'noncommercial', 'use', 'title', 'software', 'shall', 'transferred', 'may', 'subscriber', 'content', 'software', 'recorded', '9gag', 'inc', 'third', 'party', 'licensors', 'retain', 'full', 'complete', 'title', 'software', 'intellectual', 'property', 'rights', 'therein']",0
9,"['subscriber', 'shall', 'subscriber', 'content', 'subscriber', 'contributes', 'site', 'hereby', 'grants', 'agrees', 'grant', '9gag', 'inc', 'nonexclusive', 'worldwide', 'royaltyfree', 'transferable', 'right', 'license', 'right', 'sublicense', 'use', 'copy', 'cache', 'publish', 'display', 'distribute', 'modify', 'create', 'derivative', 'works', 'store', 'subscriber', 'content', 'allow', 'others', '“content', 'license”', 'order', 'provide', 'services', 'termination', 'subscriber’s', 'membership', 'site', 'use', 'services', '9gag', 'inc', 'shall', 'make', 'reasonable', 'efforts', 'promptly', 'remove', 'site', 'cease', 'use', 'subscriber', 'content', 'however', 'subscriber', 'recognizes', 'agrees', 'caching', 'references', 'subscriber', 'content', 'may', 'immediately', 'removed', 'subscriber', 'warrants', 'represents', 'agrees', 'subscriber', 'right', 'grant', '9gag', 'inc', 'site', 'rights', 'set', 'forth', 'subscriber', 'represents', 'warrants', 'agrees', 'contribute', 'subscriber', 'content', 'infringes', 'violates', 'otherwise', 'interferes', 'copyright', 'trademark', 'another', 'party', 'b', 'reveals', 'trade', 'secret', 'unless', 'subscriber', 'owns', 'trade', 'secret', 'owner’s', 'permission', 'post', 'c', 'infringes', 'intellectual', 'property', 'right', 'another', 'privacy', 'publicity', 'rights', 'another', 'libelous', 'defamatory', 'abusive', 'threatening', 'harassing', 'hateful', 'offensive', 'otherwise', 'violates', 'law', 'right', 'third', 'party', 'e', 'contains', 'virus', 'trojan', 'horse', 'worm', 'time', 'bomb', 'computer', 'programming', 'routine', 'engine', 'intended', 'damage', 'detrimentally', 'interfere', 'surreptitiously', 'intercept', 'expropriate', 'system', 'data', 'information', 'f', 'remains', 'posted', 'subscriber', 'notified', 'subscriber', 'content', 'violates', 'sections', 'e', 'sentence']",0
